ticker,trailingPE,priceToBook,revenueGrowth,returnOnEquity,debtToEquity,trailingEps,marketCap,sector,shortName
COR,21.600462,16.129532,0.038,1.0713401,420.985,13.04,54802014208.0,Healthcare,"Cencora, Inc."
CNC,,1.5022469,0.051,-0.26044,76.049,-13.05,32190627840.0,Healthcare,Centene Corporation
CNX,4.42,1.0170271,0.282,0.28081,54.827,7.5,4689982464.0,Energy,CNX Resources Corporation
CDAY,,,,,,,,,
CF,9.863063,3.148148,0.194,0.273,43.847,11.1,16819334144.0,Basic Materials,"CF Industries Holdings, Inc."
CRL,,3.0714169,0.012,-0.0587,102.551,-3.71,9031930880.0,Healthcare,Charles River Laboratories Inte
SCHW,18.11133,3.7282586,0.158,0.19083,120.766,5.03,158435246080.0,Financial Services,Charles Schwab Corporation (The
CHTR,3.9442792,1.0945147,-0.01,0.27504998,459.525,36.97,22846840832.0,Communication Services,"Charter Communications, Inc."
CVX,32.56,2.015155,0.023,0.06638,23.989,5.75,372866908160.0,Energy,Chevron Corporation
CMG,29.568806,17.226082,0.074,0.49231997,217.885,1.09,41342513152.0,Consumer Cyclical,"Chipotle Mexican Grill, Inc."
CB,11.599152,1.727662,0.102,0.15433,31.458,28.29,127272419328.0,Financial Services,Chubb Limited
CHD,32.092106,5.52091,0.002,0.16779,56.794,3.04,23116216320.0,Consumer Defensive,"Church & Dwight Company, Inc."
CI,11.92,1.8680575,0.046,0.16268998,72.805,25.0,78830657536.0,Healthcare,The Cigna Group
CINF,9.663236,1.6627805,0.116,0.18735,5.626,17.49,26143604736.0,Financial Services,Cincinnati Financial Corporatio
CTAS,37.189877,14.725587,0.089,0.41303003,60.943,4.74,70536134656.0,Industrials,Cintas Corporation
CSCO,40.366665,9.765342,0.12,0.25229,67.541,3.0,477307731968.0,Technology,"Cisco Systems, Inc."
C,17.262962,1.2459791,0.159,0.07649,,8.1,238490828800.0,Financial Services,"Citigroup, Inc."
CFG,16.030807,1.1978116,0.138,0.07739,,4.22,28607965184.0,Financial Services,"Citizens Financial Group, Inc."
